rank,feature,perm_importance,grad_importance,variance,zero_rate,mean,std
1,B1_win_rate_2,0.02341416,0.01314228,149.83245850,0.0003,36.153145,12.240607
2,B5_win_rate_2,0.01473811,0.00449125,208.06941223,0.0273,30.815266,14.424611
3,B4_win_rate_3,0.01381731,0.00315314,257.34286499,0.0050,49.065281,16.041910
4,B3_win_rate_2,0.01354012,0.00354967,152.43498230,0.0010,33.499645,12.346457
5,B6_win_rate_2,0.01283934,0.00758016,242.19047546,0.0577,30.556883,15.562470
6,B5_win_rate_3,0.01236074,0.00325884,326.07431030,0.0160,46.946186,18.057528
7,B1_win_rate_3,0.01195400,0.00614909,185.52873230,0.0003,53.678291,13.620893
8,B4_win_rate_2,0.01143162,0.00598745,179.16867065,0.0073,32.434410,13.385390
9,B2_win_rate_3,0.01092341,0.00421685,198.47891235,0.0007,50.922470,14.088254
10,B6_win_rate_3,0.00991788,0.00340739,396.52767944,0.0323,46.238750,19.913002
11,B1_local_win_rate_2,0.00911007,0.00365418,396.96643066,0.1427,32.041073,19.924017
12,B3_win_rate_3,0.00903978,0.00285316,201.25599670,0.0007,50.543339,14.186472
13,B2_win_rate_2,0.00865009,0.00355791,152.80809021,0.0007,33.689877,12.361557
14,B4_local_win_rate_2,0.00788333,0.00257815,398.12200928,0.1877,28.197672,19.952995
15,B3_local_win_rate_2,0.00722673,0.00269011,383.42459106,0.1670,29.195370,19.581230
16,B6_local_win_rate_2,0.00686743,0.00284069,437.84387207,0.2480,26.714073,20.924719
17,B2_local_win_rate_2,0.00583229,0.00234407,378.98645020,0.1670,29.260662,19.467575
18,B5_local_win_rate_2,0.00537372,0.00216608,411.83999634,0.2213,26.790201,20.293840
19,B1_motor_win_rate_3,0.00457675,0.00452653,159.87590027,0.0327,49.766682,12.644204
20,B3_motor_win_rate_3,0.00384355,0.00244126,164.64526367,0.0357,49.236210,12.831417
21,B1_motor_win_rate_2,0.00371180,0.00324090,99.91405487,0.0360,33.310963,9.995702
22,B5_motor_win_rate_3,0.00345917,0.00330190,161.22959900,0.0330,49.349724,12.697621
23,B4_motor_win_rate_3,0.00284553,0.00299361,158.04359436,0.0330,49.466061,12.571539
24,B3_motor_win_rate_2,0.00284204,0.00215565,102.43304443,0.0387,33.044468,10.120921
25,B6_motor_win_rate_2,0.00255713,0.00270970,98.79091644,0.0377,33.053810,9.939362
26,B2_motor_win_rate_2,0.00246947,0.00238099,103.80696869,0.0377,33.151413,10.188570
27,B2_motor_win_rate_3,0.00244589,0.00325168,161.77342224,0.0333,49.449879,12.719018
28,B1_boat_win_rate_2,0.00212030,0.00236483,80.92242432,0.0420,32.302162,8.995689
29,B6_boat_win_rate_2,0.00196719,0.00256846,80.48705292,0.0413,32.290001,8.971457
30,B5_motor_win_rate_2,0.00186644,0.00539922,102.06024933,0.0380,32.977058,10.102488
31,B3_boat_win_rate_2,0.00141420,0.00294159,81.27606964,0.0390,32.475185,9.015325
32,B2_boat_win_rate_2,0.00135188,0.00219568,83.62839508,0.0400,32.495125,9.144856
33,B4_boat_win_rate_2,0.00133498,0.00229028,83.27873993,0.0403,32.565327,9.125719
34,B6_motor_win_rate_3,0.00131686,0.00564467,160.98510742,0.0347,49.388599,12.687991
35,B4_motor_win_rate_2,0.00117629,0.00254147,99.83312225,0.0357,33.219040,9.991652
36,B5_boat_win_rate_2,0.00080919,0.00223655,81.49378967,0.0403,32.596062,9.027391
37,B1_class_A1,0.00080168,0.02275440,0.20701289,0.7073,0.292667,0.454987
38,B1_win_rate_rel,0.00073252,0.01292855,0.79561311,0.0000,0.325252,0.891971
39,B5_approach_5,0.00063789,0.02567433,0.10912489,0.1247,0.875333,0.330341
40,B6_approach_6,0.00056834,0.02508411,0.09607454,0.1077,0.892333,0.309959
41,B1_class_B1,0.00049970,0.01516173,0.23966390,0.6017,0.398333,0.489555
